,index_code,name,ttype,pe,pe_percentile,pb,pb_percentile,yeild,roe,eva_type,date
0,SH000015,上证红利,2,5.2872,0.0188,0.6236,0.0176,0.0592,0.1179,low,01-12
1,CSIH30269,红利低波,2,5.3077,0.0315,0.6538,0.0437,0.055,0.1232,low,01-12
2,CSPSADRP,标普红利,2,5.408,0.038,0.673,0.026,0.0537,0.1244,low,01-12
3,SZ399986,中证银行,3,5.4588,0.1833,0.6484,0.0251,0.0458,0.1188,low,01-12
4,SPACEVCP,标普价值,2,5.7686,0.1461,0.5833,0.0866,0.0528,0.1011,low,01-12
5,SH000922,中证红利,2,5.901,0.0072,0.7178,0.0072,0.0541,0.1216,low,01-12
6,CSI931157,红利成长LV,2,5.9548,0.0464,0.6798,0.008,0.0469,0.1142,low,01-12
7,CSI930740,300红利LV,2,6.822,0.116,0.8021,0.0212,0.0426,0.1176,low,01-12
8,SH000919,300价值,2,7.3994,0.1872,0.8909,0.056,0.0391,0.1204,low,01-12
9,SH000925,基本面50,2,8.1658,0.226,0.9798,0.042,0.0372,0.12,low,01-12
10,CSI930949,神奇公式,2,8.589,0.0548,1.7807,0.1724,0.0282,0.2073,low,01-12
11,SZ399393,国证地产,3,8.8403,0.2475,1.0552,0.0525,0.0407,0.1194,low,01-12
12,SPHCMSHP,香港中小,1,11.0857,0.134,1.1463,0.0328,0.0341,0.1034,low,01-12
13,GDAXI,德国DAX,1,15.2227,0.1487,1.9198,0.9448,0.021,0.1261,low,01-12
14,CSI930782,500低波,2,16.3791,0.1169,1.4305,0.2158,0.0184,0.0873,low,01-12
15,SH000905,中证500,1,19.9762,0.0484,1.9467,0.178,0.0147,0.0975,low,01-12
16,SZ399998,中证煤炭,3,9.0771,0.1811,1.3173,0.7061,0.0454,0.1451,mid,01-12
17,SZ399550,央视50,2,9.4562,0.6437,1.2366,0.1963,0.0301,0.1308,mid,01-12
18,HKHSCEI,国企指数,1,10.22,0.8836,1.1078,0.5236,0.0205,0.1084,mid,01-12
19,SH000170,50AH优选,1,10.9499,0.8249,1.3619,0.9576,0.0208,0.1244,mid,01-12
20,HSFML25,香港大盘,1,11.0806,0.948,1.1969,0.528,0.0236,0.108,mid,01-12
21,SH000010,上证180,1,11.2008,0.6204,1.3376,0.4848,0.0238,0.1194,mid,01-12
22,HKHSI,恒生指数,1,11.2753,0.732,1.1515,0.376,0.0232,0.1021,mid,01-12
23,SH000016,上证50,1,11.3355,0.798,1.4425,0.7412,0.0259,0.1273,mid,01-12
24,SH000903,中证100,1,12.334,0.788,1.5515,0.7824,0.0232,0.1258,mid,01-12
25,SH000300,沪深300,1,13.8413,0.7756,1.6778,0.7604,0.0196,0.1212,mid,01-12
26,CSI931142,东证竞争,2,14.9004,0.7928,2.4056,0.774,0.0171,0.1614,mid,01-12
27,SZ399324,深证红利,2,15.5888,0.5236,2.3456,0.6488,0.0243,0.1505,mid,01-12
28,SZ399317,国证A指,1,18.0177,0.5772,1.9023,0.5392,0.0155,0.1056,mid,01-12
29,SZ399975,证券公司,3,19.5683,0.1973,1.7521,0.3753,0.0137,0.0895,mid,01-12
30,SZ399812,养老产业,3,21.8417,0.3658,3.0875,0.4779,0.0135,0.1414,mid,01-12
31,SZ399001,深证成指,1,28.1119,0.6332,3.3734,0.818,0.0108,0.12,mid,01-12
32,SZ399610,TMT50,3,32.2013,0.2076,4.938,0.6836,0.0071,0.1533,mid,01-12
33,SZ399971,中证传媒,3,34.4089,0.2834,2.6146,0.1856,0.0127,0.076,mid,01-12
34,CSI930652,中证电子,3,34.9478,0.113,4.757,0.8143,0.0062,0.1361,mid,01-12
35,SH000852,中证1000,1,36.0655,0.1919,3.0257,0.5461,0.0083,0.0839,mid,01-12
36,SH000978,医药100,3,36.1134,0.5556,5.8123,0.838,0.007,0.1609,mid,01-12
37,SH000991,全指医药,3,37.4097,0.4624,4.8573,0.7472,0.0073,0.1298,mid,01-12
38,SZ399989,中证医疗,3,38.5488,0.0677,8.5641,0.6386,0.0052,0.2222,mid,01-12
39,CSIH30533,中概互联50,3,42.1687,0.2914,3.2394,0.0146,0.0021,0.0768,mid,01-12
40,SH000993,全指信息,3,43.8978,0.2144,4.5414,0.6824,0.0055,0.1035,mid,01-12
41,CSIH11136,中国互联,3,44.992,0.542,3.2554,0.01,0.0022,0.0724,mid,01-12
42,SPCQVCP,标普质量,2,20.3189,0.9793,3.6073,0.8079,0.027,0.1694,high,01-12
43,SZ399701,基本面60,2,21.8327,0.8696,2.937,0.8748,0.0164,0.1345,high,01-12
44,SZ399702,基本面120,2,22.327,0.85,2.8166,0.8404,0.0158,0.1262,high,01-12
45,SP500,标普500,1,26.064,0.8449,4.7657,0.9889,0.0122,0.1828,high,01-12
46,SZ399330,深证100,1,29.4197,0.862,4.3535,0.9236,0.0107,0.148,high,01-12
47,SH000989,全指可选,3,33.029,0.8392,3.1128,0.8892,0.0147,0.0942,high,01-12
48,NDX,纳指100,1,33.3951,0.8618,9.5499,0.9801,0.0052,0.286,high,01-12
49,935600,MSCI印度,1,34.0384,0.9996,4.588,0.9996,0.0112,0.1348,high,01-12
50,SH000827,中证环保,3,41.9024,0.9009,4.7722,0.9443,0.0067,0.1139,high,01-12
51,SZ399396,食品饮料,3,44.2045,0.8653,8.7844,0.8457,0.0105,0.1987,high,01-12
52,SZ399997,中证白酒,3,45.4779,0.8366,11.3205,0.8142,0.0097,0.2489,high,01-12
53,CSIH30094,消费红利,2,46.242,0.9856,5.1325,0.5334,0.0197,0.111,high,01-12
54,SH000932,主要消费,3,51.9817,0.9836,7.7093,0.864,0.0111,0.1483,high,01-12
55,SZ399006,创业板,1,59.6304,0.7352,7.7392,0.8244,0.0038,0.1298,high,01-12
56,SZ399967,中证军工,3,67.8772,0.4271,4.4062,0.8415,0.0032,0.0649,high,01-12
57,SZ399417,新能源车,3,92.5917,0.9758,8.2295,0.9904,0.0019,0.0889,high,01-12
58,CSI716567,MSCI中国,1,14.4897,0.6663,1.7611,0.7352,0.0184,0.1215,unsort,01-12
59,HKHSSCNE,新经济,2,30.6797,0.6471,4.1511,0.7529,0.0066,0.1353,unsort,01-12
60,CSI931087,科技龙头,3,34.1409,0.0654,5.4823,0.2398,0.0056,0.1606,unsort,01-12
61,CSI931079,5G通讯,3,35.1088,0.1745,4.4235,0.4234,0.0066,0.126,unsort,01-12
62,HKHSTECH,恒生科技,3,36.6796,0.2821,3.4649,0.0754,0.0022,0.0945,unsort,01-12
63,SH000688,科创50,1,52.239,0.004,6.4228,0.2247,0.0033,0.123,unsort,01-12
